video_id,comment_count,sentiment_mean,sentiment_median,sentiment_std,positive_ratio,negative_ratio,rating,revenue,success
4lQk_UpaTvA,12,0.13103333333333333,0.0,0.38490540120760564,0.16666666666666666,0.08333333333333333,6.5,65.03,0
5E2Vhu8GUQU,13,0.033846153846153845,0.0,0.5235657927700915,0.38461538461538464,0.3076923076923077,6.8,42.65,0
5ItTtFPYz0Y,1,0.1027,0.1027,,1.0,0.0,6.1,47.95,0
5L9bzKaf8Dw,2,0.2463,0.2463,0.3483208004124933,0.5,0.0,6.9,72.66,0
5O7VSW4TFBU,100,0.22339900000000001,0.12685,0.4686928221278212,0.5,0.13,7.0,100.01,0
5iuzVIW_F80,12,0.29113333333333336,0.45630000000000004,0.5402825343926055,0.6666666666666666,0.16666666666666666,7.4,56.23,0
6GiU2SSG624,100,0.364218,0.4019,0.39057038874141004,0.64,0.08,6.1,0.03,0
6_apBrl67cc,84,0.09858214285714287,0.0,0.4683775506130118,0.47619047619047616,0.25,6.2,325.02,0
6bCYsxXPcTQ,27,0.06666296296296297,0.0,0.33720669095030187,0.3333333333333333,0.25925925925925924,6.5,65.03,0
6fTp-Tc4aeY,25,0.057788000000000006,0.0,0.44981146079959616,0.44,0.28,7.9,532.17,1
7N-XqcI8GHs,26,0.05186923076923077,0.05135,0.48398975176689907,0.5,0.23076923076923078,6.4,67.24,0
7XBIxL-VwMo,7,0.3570714285714286,0.4588,0.2844025416804247,0.7142857142857143,0.0,6.7,9.24,0
7dCmUnC_usU,15,0.054073333333333334,0.0,0.4056821424054387,0.3333333333333333,0.13333333333333333,6.5,153.69,0
8YODWs4_khw,7,0.054200000000000005,0.0,0.09494544047328796,0.2857142857142857,0.0,6.7,162.16,0
98mNSmCc4sc,7,0.24007142857142855,0.2382,0.45909379475326434,0.5714285714285714,0.14285714285714285,7.2,89.21,0
9Golt91teTQ,67,0.21443283582089553,0.0,0.4135001316873702,0.4626865671641791,0.13432835820895522,7.6,232.6,1
9QZsXiGOOsU,100,0.195766,0.0,0.40605860954778294,0.47,0.16,6.1,47.95,0
9T4EHf4rewI,3,0.02566666666666667,0.0,0.42088736418825085,0.3333333333333333,0.3333333333333333,5.8,14.9,0
9fkfGefPEJc,12,0.21020000000000003,0.0,0.2762610261065693,0.4166666666666667,0.0,7.2,270.32,0
9sZFcEW2Rm0,39,0.1934025641025641,0.0258,0.4059002427918903,0.48717948717948717,0.1282051282051282,6.4,55.47,0
A0KUWzfugg4,100,0.289116,0.3506,0.422946805576629,0.57,0.15,7.3,7.08,0
AD6lEHZXgFM,32,0.13687812500000002,0.0,0.3548045520440933,0.375,0.09375,7.4,86.2,0
AHOH3jOOe8M,2,-0.3105,-0.3105,0.7591498402818774,0.5,0.5,7.3,52.82,0
AUj9R_zZz4g,1,-0.3612,-0.3612,,0.0,1.0,6.3,14.27,0
AZ5r03ggSAo,10,0.08127999999999999,0.0,0.3518680365010598,0.4,0.2,7.1,40.07,0
Aok2V_MrgDw,15,-0.01179333333333333,0.0,0.4437701825859653,0.26666666666666666,0.3333333333333333,7.0,1.82,0
AopLm2n-Fjc,12,0.13717500000000002,0.0,0.5064018277379769,0.4166666666666667,0.16666666666666666,6.3,12.63,0
AtlvACXxViM,100,0.178648,0.0,0.4452230995577363,0.45,0.22,7.6,232.6,1
Aywz8vjd04w,3,0.4054333333333333,0.3182,0.19139086533409408,1.0,0.0,7.6,46.88,0
BdV-gcE2a7Q,9,0.0896,0.0,0.3541516800750774,0.4444444444444444,0.1111111111111111,6.2,77.04,0
BdZG9DwiKNc,14,0.22780714285714287,0.4371,0.5602370246522527,0.5714285714285714,0.2857142857142857,4.7,28.84,0
